minusLOG10p-value(GFP vs WT),Difference(GFP vs WT),Gene names
1.387720947,-0.606847127,CCDC22
3.50583019,-0.995741526,PRAF2
0.935069564,-0.380996068,EIF5B
0.175001729,-0.112000783,EDF1
2.503193225,-0.57009697,DNAJA2
3.387565905,0.497902552,ABCB7
3.488149588,-1.062102636,ROCK2
1.51757493,0.153268178,HIP1R
0.997762265,0.933677038,DNAJC13
0.357315052,-0.717933019,DNAJB6
2.89131707,-0.387260437,NDUFS7
0.13816671,-0.075410207,NDUFS2
3.050432323,-0.601962407,GBAS
1.374907412,-0.480926514,ATP6V1G1
2.369010055,-0.944075902,FLNB
0.327943357,-0.10273234,NDUFS6
2.028788401,-0.666435242,PEX14
2.485043153,0.707375844,MRPL33
2.051155918,-0.475451152,SEC22B
0.65132014,-0.442891439,PRPF40A
1.592871162,0.681216558,PMPCB
3.433276287,-0.901725769,ERLIN1
0.867768105,-0.180303574,NDUFS3
2.984206191,-0.84657987,ECI2
4.248194727,2.347621918,BANF1
0.194260373,-0.058818181,ERAL1
0.098335308,0.075939178,SNRNP200
1.411952744,0.967018763,TRMU
0.051933105,-0.030832291,SLC25A12
1.441836445,-0.383974711,ZMPSTE24
0.967377696,0.559213638,STAM2
3.122451049,-0.446198146,ATP5H
5.10934846,-1.411427816,FLOT1
0.841122508,0.422089259,ATP5L
0.32371824,-0.084300995,CPD
0.631062206,0.376622518,RSL1D1
0.298911246,-0.175041835,WFS1
5.428738147,1.423254013,CLPX
3.558901907,-1.096588135,SRP72
2.301136416,-1.286071142,B3GAT3
0.375897844,-0.132674535,TOMM70A
3.544241484,-1.064663569,UFL1
0.063212009,0.017246246,ERLIN2
0.969725528,0.227722804,GLS
0.979024013,-1.170180003,AP2A2
1.098905715,0.245522181,MFN2
0.582530056,-0.108304977,NDUFB4
0.634951202,-0.666083654,NDUFB8
1.607271636,-0.475100199,NDUFA7
0.586230031,-0.477888107,VAMP5
0.130282035,-0.099326452,RTN3
1.340303993,-0.232979457,LETM1
4.415786003,-0.80499649,VAPB
2.81763483,-1.290577571,MPZL1
0.420329281,-0.347304662,SMC2
0.493227746,1.770199458,UTS2
3.185632735,-0.921689987,SGPL1
2.802248111,2.957122167,NSA2
1.111170341,-0.440853119,MPC2
1.38015991,-0.206131617,ACSL3
1.412222304,-2.090108871,CDS2
0.367843526,-0.44891866,HERC2
0.432531641,0.384841283,RAB3D
0.638539422,-0.386642456,AP2A1
1.761717255,0.72177124,STAU1
0.380878995,-0.155855815,BAG2
1.408817118,0.335208893,AIFM1
0.003927384,-0.003583908,TXNDC12
