minusLOG10p-value(GFP vs triple),Difference(GFP vs triple),Gene names
0.781966584,0.511234919,QRSL1
0.328039219,-0.070953369,RAB1B
0.109141137,-0.06995519,MRPL18
0.405993002,0.44927152,CCDC8
1.773357627,-0.342425028,ISCU
1.94502852,0.326895396,EHD4
3.064948062,-0.877195358,VPS16
0.147566764,-0.055627823,SLK
0.267965183,0.216597875,TSPYL2
0.850191917,0.202631632,MRPL46
0.006426564,-0.007797877,PNN
0.121836871,0.207939148,TMEM245
2.934053795,-0.85557429,CPVL
0.663396395,1.591281255,DPAGT1
0.851504379,-0.211223602,TMX1
2.87546889,1.416866938,CHMP4B
0.330566721,-0.37071228,PIGU
1.483368384,-0.424120585,GOLPH3
0.560152245,0.161026637,OSBPL3
0.619744246,-0.558996201,EHD1
1.462602975,0.371706009,TFB2M
3.082660983,1.106864293,CCDC86
0.500170557,0.259269714,REEP4
0.092969229,-0.067951202,C8orf33
1.228092795,0.280341466,METTL17
0.135000029,0.075770696,ACAD9
0.358113367,0.288363775,SLC25A22
1.122092801,0.201769511,SFXN1
0.266286434,0.149359385,MRPL44
0.491520054,-0.263436635,CARS2
0.611526694,-0.607471466,GNB4
0.212544153,0.067175547,GRPEL1
1.40488029,-0.271392186,RDH14
0.93262595,-0.485592524,PLGRKT
0.248456792,0.10796992,SLC38A10
0.617039169,-0.160163879,TMEM165
0.40867904,0.312535604,SLC25A19
0.514329437,0.138849894,RNMTL1
1.987269386,0.326916377,MCCC2
0.254585068,0.332972844,SDF2L1
0.00384988,-0.002960205,PREB
1.937111214,-0.642396291,ATP13A1
0.267669434,0.101414363,MRPL47
2.56214776,2.000549316,CHMP1A
0.109294978,-0.193886439,TM9SF3
1.427589273,0.385676066,JPH1
2.347486942,-0.70965449,APMAP
2.645376861,-0.716130575,RAB18
1.179604152,0.152165731,MRPS30
0.544761921,0.812005361,ACOT13
2.15671325,0.522468567,TIMMDC1
1.868354234,-0.489989599,RTN4
0.382256557,-0.080348969,DIABLO
3.129887247,0.960015615,DDX21
0.450315848,-0.162505468,AAAS
1.084155158,0.167765299,ABCB10
0.036214335,0.008225759,CMC2
0.158178778,-0.143964132,RAB6B
0.407338417,0.145624797,MRPL17
2.312252458,-0.764582316,SERINC1
1.849599695,-0.374540329,AGPAT3
2.669622116,1.500307719,TOMM22
2.90046507,-0.468450546,SACM1L
0.327087242,0.619307836,ABHD10
0.104729157,0.076560974,DDX28
1.378474963,-0.375862122,LIN7C
1.477326963,0.369777679,AGPAT5
0.139718464,-0.172356288,EXOC1
0.070416706,0.036311467,UQCC
0.138236606,0.058448792,EXD2
4.446994238,0.403773626,DNAJC11
1.564424687,0.680647532,ATAD3A
1.652904484,-0.698282242,ARL8B
0.20269769,-0.07342275,MTPAP
2.93534126,-0.825702031,ARGLU1
0.538766798,0.454304377,SLTM
0.156482917,0.072746913,CCDC109B
1.794110372,1.89610672,AURKAIP1
0.644931987,-0.426540375,NDUFB11
0.275715204,0.151683172,MRPL16
0.459751709,-0.228012721,OCIAD1
2.040535114,0.796475728,05-Mar
0.29968261,0.164101919,IMPAD1
0.788403946,0.370815277,DNAJB12
0.218557687,0.098765055,MRPL39
0.184260081,0.088551203,UGGT1
1.669167649,0.65311559,FASTKD2
1.033779836,-0.251927058,TECR
1.204668183,-0.510293325,USE1
2.510352668,-0.60600853,CISD1
1.259792548,0.277808507,FAM120A
1.882980378,0.260318756,MRPL35
1.707988668,0.300539017,IGF2BP1
0.12456266,-0.121789932,MTCH1
0.443016494,0.747728348,GLTSCR2
0.719090901,-0.711432775,MPP6
0.001264112,-0.000603358,MRPL15
0.369147358,-0.330017726,CCDC59
0.227100544,0.08568128,NDUFAF4
0.260455014,-0.108172099,PTPLAD1
0.337088614,-0.28735733,EMC3
0.520399584,0.412167231,MRPL36
3.492944425,-0.866528193,VAPA
2.651052202,0.535460154,RCC2
1.969792343,-1.212245305,PTGFRN
1.032264167,0.173574448,RRBP1
2.451733102,-0.490690231,DPM3
3.238599075,-1.206337611,COPG2
0.082733346,0.029754003,GNG12
1.241291277,-0.339480082,DHCR7
1.099184585,-0.267365138,DNAJB11
0.1196444,0.095551173,NXF1
1.564294743,-0.620169957,SEL1L
0.493185231,-0.198829651,AASS
2.750001513,1.709679286,UQCR10
2.408996282,0.483148575,MTFP1
1.833674465,-0.416208903,VTI1B
1.039606052,0.716119766,WARS2
0.095846341,0.051212311,SEC63
1.860640762,2.537835439,SUN2
0.544524868,-0.092990875,LIMA1
1.572846948,-0.291820526,SRP68
1.229776322,-0.313306808,09-Sep
0.017828385,0.016695023,PCYOX1
0.555904415,-0.118848801,CYB5R1
0.341513209,0.074375788,BAIAP2L1
2.022944152,0.55232811,PUF60
1.305536526,-0.364171346,NDUFA12
1.893818005,-1.006153742,ATP6V1H
0.14361688,0.187720617,FTSJ2
0.108799717,-0.056564967,ATPIF1
0.277443833,-0.351073583,AK3
1.33708053,-0.354785919,SLC25A13
1.071877082,0.256907145,STOML2
0.535637835,-0.45834287,MRTO4
1.312772047,-0.698900859,TNIK
0.282054214,0.178857803,PACSIN3
1.467731176,0.288291295,RAB21
0.190920523,-0.090943019,RAB23
2.292677116,-0.840661367,KIDINS220
0.216683224,0.084002177,CORO1C
0.243134593,-0.106399536,PRPF19
0.94671506,-0.758558273,NENF
1.342311184,0.715312322,NOL7
0.234203239,-0.757867813,ORF1
3.802760387,-0.733070374,STUB1
0.554761078,-0.501128515,PACSIN2
0.740983255,0.923849106,MAGED2
0.132653391,0.132095337,RPL26L1
0.45857437,0.604710897,C19orf53
2.12897994,-0.305574417,SRRM2
0.606621766,-0.231184006,PA2G4
1.16652206,-0.277446747,SMC3
0.240788201,0.057781219,RUVBL2
0.961928982,0.648609797,HIGD1A
0.298116301,-0.049870173,RUVBL1
0.267473378,-0.221265157,NUDC
2.598131215,1.129657745,VDAC3
0.875181578,0.594154994,CFL2
0.845378866,0.271319707,MRPS33
0.404553119,-0.280596415,NCKAP1
0.221640466,-0.190205892,CNPY2
3.119714511,0.447710037,DNAJC16
3.688073753,-1.186506271,EPB41L3
0.463896711,-0.115901311,GSTK1
1.673271102,0.278658549,MRPS28
0.454863086,0.206890742,COA3
1.62044932,0.409952799,POLDIP2
0.720785147,-0.663983027,THRAP3
3.48987162,1.042957306,NOP58
1.742299118,1.316762288,MTO1
0.530115697,0.27835083,YARS2
0.253211914,-1.22736613,COQ6
2.046286569,0.424220403,ACOT9
0.127760049,0.046578725,TMX2
1.560787173,-0.27281189,LUC7L2
0.799416167,0.143456141,MRPS2
0.987877875,-0.753708522,UTP11L
0.491041063,0.281487147,SBDS
0.75061293,0.145622253,MRPL11
0.793463048,0.608535767,NOP16
0.848345455,-0.999334335,UFC1
0.560720553,-0.25077184,MSRB2
1.923205286,0.386652629,MRPS16
0.677656252,-0.201300303,C22orf28
0.326697353,0.095257441,RAP2C
3.209733164,-1.092421214,RHBDD3
0.203513111,-0.116067251,RPL36
0.139438016,-0.112681707,CHTOP
1.105181215,-0.679568609,TLN1
0.728857939,-0.686928431,DAAM1
0.02386364,0.206443151,TLN2
2.637576925,-0.434710821,AFG3L2
1.571446209,0.524358114,SAMM50
2.783466239,5.605446498,TARG1
0.924946343,0.907152176,YTHDF2
4.57315839,5.561756134,SUPT16H
0.669095165,0.157604218,TIMM9
0.39077377,-0.159982045,TIMM8B
0.241063116,0.09179306,TIMM13
0.89209006,0.255481084,SRPRB
1.250366101,-0.55928421,FLVCR1
0.272388513,-0.26686732,UBIAD1
2.517097524,0.411353429,MRPS18B
1.969204557,-1.200675329,COPG1
0.83947355,0.159572601,AUP1
0.290213388,0.361289342,CLIC4
0.239341722,-0.086032867,NFS1
2.510566415,0.542634328,MTCH2
0.344420124,-0.232872645,TEX264
0.826752009,-0.424122492,CEPT1
0.739866954,-0.418339411,CSNK1G3
1.121633974,0.539147059,COX11
