minusLOG10p-value(GFP vs triple),Difference(GFP vs triple),Gene names
2.686028221,0.309303919,LMNB1
2.284693051,-0.999101639,ATP6V1B2
2.411025666,-0.612627665,FLNA
1.507316144,0.318483353,VDAC1
1.763661288,0.224234899,SDHB
0.067283075,-0.066884995,BCKDHB
2.781227164,-0.568143845,COMT
0.787389012,-0.355098724,MUT
1.29844299,-0.667269389,OSBP
0.496515796,0.288416545,GART
2.113075301,-1.26995786,SCP2
0.117675539,-0.113301595,NME2
0.169474277,-0.041603088,HNRNPA2B1
1.312930331,0.511645635,UQCRC2
3.13809404,-0.448671341,FECH
0.057746969,0.040540695,SFPQ
0.254455172,-0.139879227,TUBG1
0.139459498,-0.105766296,PPIB
1.785210267,1.287352244,ME2
0.067382593,-0.032920837,GLDC
0.399457551,0.141702652,RPS3
0.431008091,-0.384991328,AHCY
0.260452966,-0.05927976,CFL1
1.626157963,0.983357747,ATP2B4
0.246700583,0.273401896,CPT2
1.057261623,0.868616104,COX7B
2.331794677,-0.606001536,ATP5F1
2.07492941,1.533660889,PRKCH
0.121393858,-0.102127711,ACAT1
1.2583073,0.251576742,RPS12
2.407336458,-0.576729457,FAS
2.659834246,-0.318904877,ATP5A1
1.532400074,-0.77759997,MSN
0.521954715,0.321140925,U2AF2
0.047598786,0.051011403,RPL13
0.64126262,-0.314085007,HMGB2
2.67070075,-0.512208303,PTBP1
0.049464165,-0.03866895,TARS
0.717000964,0.579989115,EEF1G
1.284408987,0.716749191,AK4
0.170792563,-0.177201589,YWHAQ
0.967374839,-0.624643962,MARK3
0.213608288,-0.075600942,RPL10
5.004181287,5.755150477,RPA1
1.389630635,-0.592891057,CALR
2.724423023,-0.484772364,NDUFS1
0.217579311,0.13856252,MAPK1
0.241739617,0.249596278,LAP3
0.221509335,0.080289841,EPHA2
1.159695915,-0.313055674,MARCKS
0.427401547,-0.226734797,GNA11
1.430115057,-0.615222931,ALDH4A1
0.365993458,-0.230582555,ERP29
0.027475525,-0.096240362,PRDX6
0.368416669,-0.463452657,C21orf33
0.326312845,0.282339096,PRDX5
1.517253235,-0.475890477,ATP5D
0.027417928,-0.013364792,RPL12
0.086603431,-0.048511505,ECHS1
0.064663641,0.086795171,PEBP1
0.602248021,0.399315516,PPP2R1A
1.964401048,0.404165904,PPIF
1.500278227,-0.2082901,HMOX2
0.628782466,-0.17921257,LRPAP1
0.261944843,0.271268209,SLC7A1
1.326179238,0.691464742,ALDH1B1
0.065853441,0.06641833,DNAJA1
